N_day,date,sunrise,bin_1,bin_2,delta2_1,suma,active,avg_2_1 
3365,2009-03-19,10:46:00,197.151,197.172,0.021,-0.186,"[-0.086, -0.121, 0.021]",-0.062
3366,2009-03-20,10:47:00,197.397,197.377,-0.02,-0.12,"[-0.121, 0.021, -0.02]",-0.04
3370,2009-03-24,10:50:00,197.462,197.517,0.055,0.215,"[0.125, 0.035, 0.055]",0.07166666666666667
3371,2009-03-25,10:51:00,197.558,197.641,0.083,0.173,"[0.035, 0.055, 0.083]",0.057666666666666665
3372,2009-03-26,10:52:00,197.374,197.34,-0.034,0.10400000000000001,"[0.055, 0.083, -0.034]",0.03466666666666667
3373,2009-03-27,10:53:00,197.637,197.609,-0.028,0.021,"[0.083, -0.034, -0.028]",0.007
3374,2009-03-28,10:53:00,197.146,197.218,0.072,0.009999999999999995,"[-0.034, -0.028, 0.072]",0.003333333333333332
3375,2009-03-29,10:54:00,197.537,197.629,0.092,0.136,"[-0.028, 0.072, 0.092]",0.04533333333333334
3376,2009-03-30,10:55:00,196.624,196.604,-0.02,0.144,"[0.072, 0.092, -0.02]",0.047999999999999994
3377,2009-03-31,10:56:00,194.887,194.764,-0.123,-0.051000000000000004,"[0.092, -0.02, -0.123]",-0.017
3378,2009-04-01,10:57:00,193.811,193.773,-0.038,-0.181,"[-0.02, -0.123, -0.038]",-0.06033333333333333
3379,2009-04-02,10:57:00,195.369,195.226,-0.143,-0.304,"[-0.123, -0.038, -0.143]",-0.10133333333333333
3380,2009-04-03,10:58:00,196.998,197.083,0.085,-0.09599999999999999,"[-0.038, -0.143, 0.085]",-0.031999999999999994
3381,2009-04-04,10:59:00,196.65,196.616,-0.034,-0.09199999999999998,"[-0.143, 0.085, -0.034]",-0.03066666666666666
3382,2009-04-05,11:00:00,194.641,194.746,0.105,0.156,"[0.085, -0.034, 0.105]",0.052
3383,2009-04-06,11:01:00,195.842,195.938,0.096,0.16699999999999998,"[-0.034, 0.105, 0.096]",0.05566666666666666
3384,2009-04-07,11:01:00,196.951,196.895,-0.056,0.14500000000000002,"[0.105, 0.096, -0.056]",0.04833333333333334
3385,2009-04-08,11:02:00,195.974,196.02,0.046,0.086,"[0.096, -0.056, 0.046]",0.028666666666666663
3386,2009-04-09,11:03:00,196.577,196.59,0.013,0.0029999999999999975,"[-0.056, 0.046, 0.013]",0.0009999999999999992
3387,2009-04-10,11:04:00,196.411,196.451,0.04,0.099,"[0.046, 0.013, 0.04]",0.033
3388,2009-04-11,11:05:00,197.173,197.323,0.15,0.20299999999999999,"[0.013, 0.04, 0.15]",0.06766666666666667
3389,2009-04-12,11:05:00,197.473,197.465,-0.008,0.182,"[0.04, 0.15, -0.008]",0.06066666666666667
3390,2009-04-13,11:06:00,197.104,197.262,0.158,0.3,"[0.15, -0.008, 0.158]",0.09999999999999999
3391,2009-04-14,11:07:00,195.179,195.144,-0.035,0.11499999999999999,"[-0.008, 0.158, -0.035]",0.03833333333333333
3392,2009-04-15,11:08:00,196.098,196.098,0.0,0.123,"[0.158, -0.035, 0.0]",0.041
3393,2009-04-16,11:09:00,197.247,197.457,0.21,0.175,"[-0.035, 0.0, 0.21]",0.05833333333333333
3394,2009-04-17,11:09:00,198.076,198.051,-0.025,0.185,"[0.0, 0.21, -0.025]",0.06166666666666667
3401,2009-04-24,11:15:00,195.587,195.591,0.004,0.135,"[-0.05, 0.181, 0.004]",0.045000000000000005
3407,2009-04-30,11:20:00,197.475,197.484,0.009,0.102,"[0.014, 0.079, 0.009]",0.033999999999999996
3431,2009-05-24,11:39:00,198.146,198.07,-0.076,0.044,"[0.012, 0.108, -0.076]",0.014666666666666666
3432,2009-05-25,11:39:00,197.988,198.027,0.039,0.07100000000000001,"[0.108, -0.076, 0.039]",0.02366666666666667
3433,2009-05-26,11:40:00,196.763,196.683,-0.08,-0.11699999999999999,"[-0.076, 0.039, -0.08]",-0.039
3434,2009-05-27,11:41:00,197.082,196.951,-0.131,-0.17200000000000001,"[0.039, -0.08, -0.131]",-0.05733333333333334
3435,2009-05-28,11:41:00,196.373,196.44,0.067,-0.14400000000000002,"[-0.08, -0.131, 0.067]",-0.04800000000000001
3448,2009-06-10,11:49:00,197.827,198.006,0.179,0.22499999999999998,"[0.014, 0.032, 0.179]",0.075
3449,2009-06-11,11:49:00,197.328,197.276,-0.052,0.159,"[0.032, 0.179, -0.052]",0.053
3450,2009-06-12,11:50:00,196.54,196.606,0.066,0.193,"[0.179, -0.052, 0.066]",0.06433333333333334
3451,2009-06-13,11:50:00,196.777,196.942,0.165,0.17900000000000002,"[-0.052, 0.066, 0.165]",0.05966666666666667
3455,2009-06-17,11:52:00,197.346,197.333,-0.013,0.024000000000000007,"[-0.02, 0.057, -0.013]",0.008000000000000002
3459,2009-06-21,11:53:00,196.51,196.4,-0.11,-0.124,"[-0.091, 0.077, -0.11]",-0.04133333333333333
3460,2009-06-22,11:53:00,196.731,196.818,0.087,0.05399999999999999,"[0.077, -0.11, 0.087]",0.018
3461,2009-06-23,11:53:00,197.604,197.56,-0.044,-0.067,"[-0.11, 0.087, -0.044]",-0.022333333333333334
3465,2009-06-27,11:54:00,197.14,197.221,0.081,0.10200000000000001,"[-0.025, 0.046, 0.081]",0.034
3466,2009-06-28,11:54:00,197.213,197.377,0.164,0.29100000000000004,"[0.046, 0.081, 0.164]",0.09700000000000002
3467,2009-06-29,11:54:00,196.815,196.79,-0.025,0.22,"[0.081, 0.164, -0.025]",0.07333333333333333
3468,2009-06-30,11:54:00,196.983,197.184,0.201,0.34,"[0.164, -0.025, 0.201]",0.11333333333333334
3469,2009-07-01,11:54:00,196.807,196.921,0.114,0.29000000000000004,"[-0.025, 0.201, 0.114]",0.09666666666666668
3470,2009-07-02,11:54:00,196.535,196.595,0.06,0.375,"[0.201, 0.114, 0.06]",0.125
3471,2009-07-03,11:54:00,196.204,196.278,0.074,0.248,"[0.114, 0.06, 0.074]",0.08266666666666667
3472,2009-07-04,11:54:00,196.906,196.476,-0.43,-0.296,"[0.06, 0.074, -0.43]",-0.09866666666666667
3473,2009-07-05,11:53:00,196.48,196.483,0.003,-0.353,"[0.074, -0.43, 0.003]",-0.11766666666666666
3474,2009-07-06,11:53:00,196.301,196.315,0.014,-0.413,"[-0.43, 0.003, 0.014]",-0.13766666666666666
3475,2009-07-07,11:53:00,196.276,196.325,0.049,0.066,"[0.003, 0.014, 0.049]",0.022000000000000002
3476,2009-07-08,11:53:00,196.264,196.44,0.176,0.239,"[0.014, 0.049, 0.176]",0.07966666666666666
3477,2009-07-09,11:53:00,197.353,197.542,0.189,0.414,"[0.049, 0.176, 0.189]",0.13799999999999998
3478,2009-07-10,11:52:00,196.368,196.197,-0.171,0.19399999999999998,"[0.176, 0.189, -0.171]",0.06466666666666666
3479,2009-07-11,11:52:00,196.488,196.432,-0.056,-0.03800000000000001,"[0.189, -0.171, -0.056]",-0.012666666666666672
3480,2009-07-12,11:52:00,197.268,197.338,0.07,-0.157,"[-0.171, -0.056, 0.07]",-0.052333333333333336
3481,2009-07-13,11:51:00,196.274,196.485,0.211,0.225,"[-0.056, 0.07, 0.211]",0.075
3482,2009-07-14,11:51:00,195.686,195.672,-0.014,0.267,"[0.07, 0.211, -0.014]",0.08900000000000001
3483,2009-07-15,11:50:00,196.129,196.135,0.006,0.20299999999999999,"[0.211, -0.014, 0.006]",0.06766666666666667
3484,2009-07-16,11:50:00,196.323,196.442,0.119,0.11099999999999999,"[-0.014, 0.006, 0.119]",0.037
3485,2009-07-17,11:50:00,195.952,196.009,0.057,0.182,"[0.006, 0.119, 0.057]",0.06066666666666667
3486,2009-07-18,11:49:00,195.72,195.605,-0.115,0.060999999999999985,"[0.119, 0.057, -0.115]",0.020333333333333328
3487,2009-07-19,11:49:00,195.45,195.481,0.031,-0.027000000000000003,"[0.057, -0.115, 0.031]",-0.009000000000000001
3488,2009-07-20,11:48:00,196.516,196.588,0.072,-0.01200000000000001,"[-0.115, 0.031, 0.072]",-0.0040000000000000036
3489,2009-07-21,11:47:00,197.319,197.322,0.003,0.106,"[0.031, 0.072, 0.003]",0.035333333333333335
3490,2009-07-22,11:47:00,196.841,196.783,-0.058,0.016999999999999994,"[0.072, 0.003, -0.058]",0.0056666666666666645
3491,2009-07-23,11:46:00,196.015,196.01,-0.005,-0.06,"[0.003, -0.058, -0.005]",-0.02
3492,2009-07-24,11:45:00,196.624,196.745,0.121,0.057999999999999996,"[-0.058, -0.005, 0.121]",0.01933333333333333
3493,2009-07-25,11:45:00,196.605,196.569,-0.036,0.07999999999999999,"[-0.005, 0.121, -0.036]",0.02666666666666666
3494,2009-07-26,11:44:00,195.978,196.09,0.112,0.197,"[0.121, -0.036, 0.112]",0.06566666666666666
3495,2009-07-27,11:43:00,196.577,196.597,0.02,0.09600000000000002,"[-0.036, 0.112, 0.02]",0.03200000000000001
3499,2009-07-31,11:40:00,196.276,196.215,-0.061,-0.06,"[-0.109, 0.11, -0.061]",-0.02
3500,2009-08-01,11:39:00,195.846,195.84,-0.006,0.043000000000000003,"[0.11, -0.061, -0.006]",0.014333333333333335
3501,2009-08-02,11:38:00,195.51,195.552,0.042,-0.025,"[-0.061, -0.006, 0.042]",-0.008333333333333333
3502,2009-08-03,11:38:00,195.297,195.341,0.044,0.08,"[-0.006, 0.042, 0.044]",0.02666666666666667
3503,2009-08-04,11:37:00,193.922,193.942,0.02,0.106,"[0.042, 0.044, 0.02]",0.035333333333333335
3504,2009-08-05,11:36:00,194.085,194.088,0.003,0.067,"[0.044, 0.02, 0.003]",0.022333333333333334
3505,2009-08-06,11:35:00,193.294,193.307,0.013,0.036,"[0.02, 0.003, 0.013]",0.011999999999999999
3506,2009-08-07,11:34:00,194.809,194.814,0.005,0.021,"[0.003, 0.013, 0.005]",0.007
3507,2009-08-08,11:33:00,194.65,194.635,-0.015,0.002999999999999999,"[0.013, 0.005, -0.015]",0.0009999999999999998
3508,2009-08-09,11:32:00,195.674,195.753,0.079,0.069,"[0.005, -0.015, 0.079]",0.023000000000000003
3509,2009-08-10,11:31:00,194.667,194.683,0.016,0.08,"[-0.015, 0.079, 0.016]",0.02666666666666667
3510,2009-08-11,11:30:00,194.216,194.398,0.182,0.277,"[0.079, 0.016, 0.182]",0.09233333333333334
3511,2009-08-12,11:28:00,194.226,194.052,-0.174,0.02400000000000002,"[0.016, 0.182, -0.174]",0.008000000000000007
3512,2009-08-13,11:27:00,194.427,194.399,-0.028,-0.019999999999999993,"[0.182, -0.174, -0.028]",-0.0066666666666666645
3513,2009-08-14,11:26:00,195.549,195.707,0.158,-0.043999999999999984,"[-0.174, -0.028, 0.158]",-0.014666666666666661
3514,2009-08-15,11:25:00,195.684,195.246,-0.438,-0.308,"[-0.028, 0.158, -0.438]",-0.10266666666666667
3518,2009-08-19,11:20:00,195.041,195.228,0.187,0.271,"[0.022, 0.062, 0.187]",0.09033333333333333
3519,2009-08-20,11:19:00,195.343,195.513,0.17,0.41900000000000004,"[0.062, 0.187, 0.17]",0.1396666666666667
3520,2009-08-21,11:18:00,194.816,195.049,0.233,0.59,"[0.187, 0.17, 0.233]",0.19666666666666666
3521,2009-08-22,11:17:00,195.659,195.644,-0.015,0.388,"[0.17, 0.233, -0.015]",0.12933333333333333
3522,2009-08-23,11:15:00,196.083,196.091,0.008,0.22600000000000003,"[0.233, -0.015, 0.008]",0.07533333333333335
3527,2009-08-28,11:09:00,193.05,193.159,0.109,0.367,"[0.104, 0.154, 0.109]",0.12233333333333334
3528,2009-08-29,11:08:00,195.096,195.169,0.073,0.336,"[0.154, 0.109, 0.073]",0.112
3529,2009-08-30,11:06:00,194.765,195.005,0.24,0.422,"[0.109, 0.073, 0.24]",0.14066666666666666
3530,2009-08-31,11:05:00,194.501,194.555,0.054,0.367,"[0.073, 0.24, 0.054]",0.12233333333333334
3535,2009-09-05,10:58:00,195.151,195.212,0.061,0.16899999999999998,"[-0.003, 0.111, 0.061]",0.056333333333333326
3536,2009-09-06,10:57:00,194.821,194.403,-0.418,-0.246,"[0.111, 0.061, -0.418]",-0.082
3537,2009-09-07,10:55:00,195.278,195.233,-0.045,-0.40199999999999997,"[0.061, -0.418, -0.045]",-0.13399999999999998
3538,2009-09-08,10:54:00,194.22,194.216,-0.004,-0.46699999999999997,"[-0.418, -0.045, -0.004]",-0.15566666666666665
3539,2009-09-09,10:52:00,194.7,194.732,0.032,-0.017,"[-0.045, -0.004, 0.032]",-0.005666666666666667
3540,2009-09-10,10:51:00,195.115,195.186,0.071,0.09899999999999999,"[-0.004, 0.032, 0.071]",0.032999999999999995
3541,2009-09-11,10:50:00,194.866,194.825,-0.041,0.06199999999999999,"[0.032, 0.071, -0.041]",0.020666666666666663
3542,2009-09-12,10:48:00,194.61,194.722,0.112,0.142,"[0.071, -0.041, 0.112]",0.04733333333333333
3543,2009-09-13,10:47:00,194.487,194.496,0.009,0.08,"[-0.041, 0.112, 0.009]",0.02666666666666667
3544,2009-09-14,10:45:00,195.284,195.342,0.058,0.179,"[0.112, 0.009, 0.058]",0.059666666666666666
3545,2009-09-15,10:44:00,195.374,195.534,0.16,0.227,"[0.009, 0.058, 0.16]",0.07566666666666667
3546,2009-09-16,10:42:00,195.556,195.615,0.059,0.277,"[0.058, 0.16, 0.059]",0.09233333333333334
3547,2009-09-17,10:41:00,195.436,195.521,0.085,0.304,"[0.16, 0.059, 0.085]",0.10133333333333333
3548,2009-09-18,10:39:00,195.566,195.796,0.23,0.374,"[0.059, 0.085, 0.23]",0.12466666666666666
3549,2009-09-19,10:38:00,194.051,194.079,0.028,0.343,"[0.085, 0.23, 0.028]",0.11433333333333334
3550,2009-09-20,10:36:00,195.653,195.741,0.088,0.346,"[0.23, 0.028, 0.088]",0.11533333333333333
3551,2009-09-21,10:35:00,195.841,195.967,0.126,0.242,"[0.028, 0.088, 0.126]",0.08066666666666666
3552,2009-09-22,10:34:00,196.354,196.476,0.122,0.33599999999999997,"[0.088, 0.126, 0.122]",0.11199999999999999
3553,2009-09-23,10:32:00,194.45,194.463,0.013,0.261,"[0.126, 0.122, 0.013]",0.08700000000000001
3554,2009-09-24,10:31:00,195.766,195.756,-0.01,0.125,"[0.122, 0.013, -0.01]",0.041666666666666664
3555,2009-09-25,10:29:00,196.1,196.336,0.236,0.239,"[0.013, -0.01, 0.236]",0.07966666666666666
3556,2009-09-26,10:28:00,196.608,196.701,0.093,0.31899999999999995,"[-0.01, 0.236, 0.093]",0.10633333333333332
3557,2009-09-27,10:26:00,196.123,196.138,0.015,0.344,"[0.236, 0.093, 0.015]",0.11466666666666665
3561,2009-10-01,10:21:00,195.348,195.369,0.021,0.05500000000000001,"[0.048, -0.014, 0.021]",0.018333333333333337
3562,2009-10-02,10:19:00,195.323,195.31,-0.013,-0.005999999999999998,"[-0.014, 0.021, -0.013]",-0.0019999999999999996
3563,2009-10-03,10:18:00,196.189,196.202,0.013,0.021,"[0.021, -0.013, 0.013]",0.007
3564,2009-10-04,10:16:00,196.244,196.203,-0.041,-0.041,"[-0.013, 0.013, -0.041]",-0.013666666666666667
3565,2009-10-05,10:15:00,196.386,196.308,-0.078,-0.10600000000000001,"[0.013, -0.041, -0.078]",-0.035333333333333335
3566,2009-10-06,10:14:00,194.761,194.954,0.193,0.07400000000000001,"[-0.041, -0.078, 0.193]",0.02466666666666667
3570,2009-10-10,10:08:00,195.062,194.989,-0.073,0.077,"[0.12, 0.03, -0.073]",0.025666666666666667
3571,2009-10-11,10:07:00,195.392,195.605,0.213,0.16999999999999998,"[0.03, -0.073, 0.213]",0.056666666666666664
3575,2009-10-15,10:01:00,194.96,194.889,-0.071,0.081,"[0.15, 0.002, -0.071]",0.027
3576,2009-10-16,10:00:00,196.608,196.606,-0.002,-0.071,"[0.002, -0.071, -0.002]",-0.023666666666666666
3577,2009-10-17,09:59:00,196.454,196.538,0.084,0.01100000000000001,"[-0.071, -0.002, 0.084]",0.00366666666666667
3578,2009-10-18,09:58:00,196.275,196.367,0.092,0.174,"[-0.002, 0.084, 0.092]",0.057999999999999996
3579,2009-10-19,09:56:00,195.375,195.283,-0.092,0.08399999999999999,"[0.084, 0.092, -0.092]",0.027999999999999997
3580,2009-10-20,09:55:00,195.673,195.89,0.217,0.217,"[0.092, -0.092, 0.217]",0.07233333333333333
3581,2009-10-21,09:54:00,195.415,195.49,0.075,0.2,"[-0.092, 0.217, 0.075]",0.06666666666666667
3582,2009-10-22,09:53:00,196.393,196.497,0.104,0.39599999999999996,"[0.217, 0.075, 0.104]",0.13199999999999998
3583,2009-10-23,09:51:00,195.578,195.576,-0.002,0.177,"[0.075, 0.104, -0.002]",0.059
3584,2009-10-24,09:50:00,195.575,195.539,-0.036,0.066,"[0.104, -0.002, -0.036]",0.022000000000000002
3585,2009-10-25,09:49:00,196.397,196.704,0.307,0.269,"[-0.002, -0.036, 0.307]",0.08966666666666667
3586,2009-10-26,09:48:00,194.89,194.994,0.104,0.375,"[-0.036, 0.307, 0.104]",0.125
3587,2009-10-27,09:47:00,194.719,194.85,0.131,0.542,"[0.307, 0.104, 0.131]",0.18066666666666667
3588,2009-10-28,09:46:00,195.44,195.577,0.137,0.372,"[0.104, 0.131, 0.137]",0.124
3589,2009-10-29,09:45:00,194.364,194.538,0.174,0.442,"[0.131, 0.137, 0.174]",0.14733333333333334
3590,2009-10-30,09:44:00,194.146,194.184,0.038,0.349,"[0.137, 0.174, 0.038]",0.11633333333333333
3591,2009-10-31,09:43:00,193.46,193.281,-0.179,0.033,"[0.174, 0.038, -0.179]",0.011000000000000001
3592,2009-11-01,09:42:00,194.564,194.669,0.105,-0.03599999999999999,"[0.038, -0.179, 0.105]",-0.011999999999999997
3593,2009-11-02,09:41:00,193.811,193.911,0.1,0.02600000000000001,"[-0.179, 0.105, 0.1]",0.00866666666666667
3594,2009-11-03,09:40:00,193.829,193.833,0.004,0.20900000000000002,"[0.105, 0.1, 0.004]",0.06966666666666667
3595,2009-11-04,09:39:00,193.908,193.793,-0.115,-0.010999999999999996,"[0.1, 0.004, -0.115]",-0.0036666666666666653
3630,2009-12-09,09:23:00,195.139,195.094,-0.045,0.077,"[0.063, 0.059, -0.045]",0.025666666666666667
3639,2009-12-18,09:25:00,193.347,193.366,0.019,0.19999999999999998,"[0.087, 0.094, 0.019]",0.06666666666666667
3640,2009-12-19,09:25:00,193.261,193.15,-0.111,0.0020000000000000018,"[0.094, 0.019, -0.111]",0.0006666666666666673
3655,2010-01-03,09:35:00,194.667,194.697,0.03,0.05,"[-0.026, 0.046, 0.03]",0.016666666666666666
3656,2010-01-04,09:36:00,192.265,192.367,0.102,0.178,"[0.046, 0.03, 0.102]",0.05933333333333333
3657,2010-01-05,09:37:00,192.816,192.743,-0.073,0.05900000000000001,"[0.03, 0.102, -0.073]",0.01966666666666667
3658,2010-01-06,09:37:00,192.411,192.354,-0.057,-0.028000000000000004,"[0.102, -0.073, -0.057]",-0.009333333333333334
3659,2010-01-07,09:38:00,193.46,193.457,-0.003,-0.133,"[-0.073, -0.057, -0.003]",-0.044333333333333336
3660,2010-01-08,09:39:00,194.001,193.899,-0.102,-0.162,"[-0.057, -0.003, -0.102]",-0.054
3661,2010-01-09,09:40:00,193.948,193.939,-0.009,-0.11399999999999999,"[-0.003, -0.102, -0.009]",-0.038
3669,2010-01-17,09:48:00,192.857,193.015,0.158,0.248,"[0.091, -0.001, 0.158]",0.08266666666666667
3670,2010-01-18,09:49:00,194.038,194.152,0.114,0.271,"[-0.001, 0.158, 0.114]",0.09033333333333333
3671,2010-01-19,09:50:00,193.727,193.789,0.062,0.334,"[0.158, 0.114, 0.062]",0.11133333333333334
3672,2010-01-20,09:51:00,193.868,193.79,-0.078,0.09799999999999999,"[0.114, 0.062, -0.078]",0.03266666666666666
3676,2010-01-24,09:55:00,193.372,193.482,0.11,0.093,"[-0.033, 0.016, 0.11]",0.031
3677,2010-01-25,09:56:00,192.876,193.079,0.203,0.329,"[0.016, 0.11, 0.203]",0.10966666666666668
3678,2010-01-26,09:57:00,193.727,193.766,0.039,0.352,"[0.11, 0.203, 0.039]",0.11733333333333333
3679,2010-01-27,09:58:00,193.126,193.141,0.015,0.257,"[0.203, 0.039, 0.015]",0.08566666666666667
3680,2010-01-28,09:59:00,194.133,194.206,0.073,0.127,"[0.039, 0.015, 0.073]",0.042333333333333334
3684,2010-02-01,10:03:00,192.987,192.883,-0.104,-0.06999999999999999,"[0.018, 0.016, -0.104]",-0.02333333333333333
3688,2010-02-05,10:07:00,193.062,193.119,0.057,0.043000000000000003,"[0.012, -0.026, 0.057]",0.014333333333333335
3689,2010-02-06,10:08:00,193.492,193.496,0.004,0.035,"[-0.026, 0.057, 0.004]",0.011666666666666667
3690,2010-02-07,10:09:00,194.159,194.457,0.298,0.359,"[0.057, 0.004, 0.298]",0.11966666666666666
3691,2010-02-08,10:10:00,193.499,193.564,0.065,0.367,"[0.004, 0.298, 0.065]",0.12233333333333334
3692,2010-02-09,10:11:00,192.43,192.52,0.09,0.45299999999999996,"[0.298, 0.065, 0.09]",0.151
3693,2010-02-10,10:12:00,193.09,192.967,-0.123,0.032,"[0.065, 0.09, -0.123]",0.010666666666666666
3694,2010-02-11,10:13:00,193.085,192.92,-0.165,-0.198,"[0.09, -0.123, -0.165]",-0.066
3695,2010-02-12,10:14:00,193.938,193.876,-0.062,-0.35000000000000003,"[-0.123, -0.165, -0.062]",-0.11666666666666668
3696,2010-02-13,10:15:00,192.049,192.244,0.195,-0.032,"[-0.165, -0.062, 0.195]",-0.010666666666666666
3697,2010-02-14,10:16:00,193.27,193.357,0.087,0.22,"[-0.062, 0.195, 0.087]",0.07333333333333333
3698,2010-02-15,10:17:00,193.604,193.557,-0.047,0.23500000000000004,"[0.195, 0.087, -0.047]",0.07833333333333335
3699,2010-02-16,10:18:00,193.795,193.83,0.035,0.075,"[0.087, -0.047, 0.035]",0.024999999999999998
3700,2010-02-17,10:19:00,192.578,192.652,0.074,0.062,"[-0.047, 0.035, 0.074]",0.020666666666666667
3701,2010-02-18,10:20:00,193.672,193.981,0.309,0.418,"[0.035, 0.074, 0.309]",0.13933333333333334
3702,2010-02-19,10:21:00,192.735,192.863,0.128,0.511,"[0.074, 0.309, 0.128]",0.17033333333333334
3703,2010-02-20,10:22:00,191.5,191.718,0.218,0.655,"[0.309, 0.128, 0.218]",0.21833333333333335
3704,2010-02-21,10:23:00,190.466,190.75,0.284,0.6299999999999999,"[0.128, 0.218, 0.284]",0.20999999999999996
3705,2010-02-22,10:24:00,192.715,192.999,0.284,0.786,"[0.218, 0.284, 0.284]",0.262
3706,2010-02-23,10:25:00,193.039,193.143,0.104,0.6719999999999999,"[0.284, 0.284, 0.104]",0.22399999999999998
3707,2010-02-24,10:26:00,192.57,192.755,0.185,0.573,"[0.284, 0.104, 0.185]",0.19099999999999998
3708,2010-02-25,10:27:00,192.27,192.455,0.185,0.474,"[0.104, 0.185, 0.185]",0.158
3709,2010-02-26,10:28:00,192.376,192.479,0.103,0.473,"[0.185, 0.185, 0.103]",0.15766666666666665
3710,2010-02-27,10:29:00,191.88,191.892,0.012,0.3,"[0.185, 0.103, 0.012]",0.09999999999999999
3711,2010-02-28,10:30:00,193.479,193.623,0.144,0.259,"[0.103, 0.012, 0.144]",0.08633333333333333
3712,2010-03-01,10:30:00,194.429,194.556,0.127,0.28300000000000003,"[0.012, 0.144, 0.127]",0.09433333333333334
3713,2010-03-02,10:31:00,193.836,194.122,0.286,0.5569999999999999,"[0.144, 0.127, 0.286]",0.18566666666666665
3714,2010-03-03,10:32:00,193.715,194.107,0.392,0.8049999999999999,"[0.127, 0.286, 0.392]",0.2683333333333333
3715,2010-03-04,10:33:00,194.135,194.391,0.256,0.9339999999999999,"[0.286, 0.392, 0.256]",0.3113333333333333
3716,2010-03-05,10:34:00,193.393,193.525,0.132,0.78,"[0.392, 0.256, 0.132]",0.26
3717,2010-03-06,10:35:00,193.424,193.616,0.192,0.5800000000000001,"[0.256, 0.132, 0.192]",0.19333333333333336
3718,2010-03-07,10:36:00,193.324,193.547,0.223,0.547,"[0.132, 0.192, 0.223]",0.18233333333333335
3719,2010-03-08,10:37:00,193.315,193.361,0.046,0.461,"[0.192, 0.223, 0.046]",0.15366666666666667
3723,2010-03-12,10:40:00,193.382,193.514,0.132,1.189,"[0.476, 0.581, 0.132]",0.39633333333333337
3724,2010-03-13,10:41:00,192.635,192.76,0.125,0.838,"[0.581, 0.132, 0.125]",0.2793333333333333
3730,2010-03-19,10:46:00,193.234,193.451,0.217,0.28,"[-0.067, 0.13, 0.217]",0.09333333333333334
3731,2010-03-20,10:47:00,192.882,193.052,0.17,0.517,"[0.13, 0.217, 0.17]",0.17233333333333334
3732,2010-03-21,10:48:00,192.85,192.85,0.0,0.387,"[0.217, 0.17, 0.0]",0.129
3733,2010-03-22,10:48:00,192.635,192.643,0.008,0.17800000000000002,"[0.17, 0.0, 0.008]",0.05933333333333334
3734,2010-03-23,10:49:00,192.447,192.608,0.161,0.169,"[0.0, 0.008, 0.161]",0.05633333333333334
3735,2010-03-24,10:50:00,193.934,194.089,0.155,0.324,"[0.008, 0.161, 0.155]",0.108
3736,2010-03-25,10:51:00,194.133,194.279,0.146,0.46199999999999997,"[0.161, 0.155, 0.146]",0.154
3754,2010-04-12,11:05:00,193.532,193.803,0.271,0.812,"[0.453, 0.088, 0.271]",0.27066666666666667
3764,2010-04-22,11:13:00,192.311,192.328,0.017,-0.03,"[-0.025, -0.022, 0.017]",-0.01
3765,2010-04-23,11:14:00,192.059,192.043,-0.016,-0.020999999999999998,"[-0.022, 0.017, -0.016]",-0.006999999999999999
3766,2010-04-24,11:15:00,192.378,192.488,0.11,0.111,"[0.017, -0.016, 0.11]",0.037
3767,2010-04-25,11:16:00,192.951,193.065,0.114,0.20800000000000002,"[-0.016, 0.11, 0.114]",0.06933333333333334
3768,2010-04-26,11:17:00,192.781,192.888,0.107,0.331,"[0.11, 0.114, 0.107]",0.11033333333333334
3769,2010-04-27,11:17:00,193.344,193.508,0.164,0.385,"[0.114, 0.107, 0.164]",0.12833333333333333
3770,2010-04-28,11:18:00,193.445,193.524,0.079,0.35000000000000003,"[0.107, 0.164, 0.079]",0.11666666666666668
3775,2010-05-03,11:22:00,193.112,193.391,0.279,0.577,"[0.122, 0.176, 0.279]",0.19233333333333333
3776,2010-05-04,11:23:00,193.252,193.283,0.031,0.486,"[0.176, 0.279, 0.031]",0.162
3777,2010-05-05,11:24:00,194.69,194.84,0.15,0.4600000000000001,"[0.279, 0.031, 0.15]",0.15333333333333335
3778,2010-05-06,11:25:00,193.561,193.654,0.093,0.274,"[0.031, 0.15, 0.093]",0.09133333333333334
3779,2010-05-07,11:26:00,193.876,194.08,0.204,0.44699999999999995,"[0.15, 0.093, 0.204]",0.149
3780,2010-05-08,11:26:00,191.843,191.949,0.106,0.40299999999999997,"[0.093, 0.204, 0.106]",0.13433333333333333
3781,2010-05-09,11:27:00,192.807,192.863,0.056,0.366,"[0.204, 0.106, 0.056]",0.122
3782,2010-05-10,11:28:00,193.037,193.199,0.162,0.324,"[0.106, 0.056, 0.162]",0.108
3783,2010-05-11,11:29:00,193.039,192.998,-0.041,0.177,"[0.056, 0.162, -0.041]",0.059
3784,2010-05-12,11:30:00,193.792,194.02,0.228,0.349,"[0.162, -0.041, 0.228]",0.11633333333333333
3785,2010-05-13,11:30:00,194.358,194.409,0.051,0.238,"[-0.041, 0.228, 0.051]",0.07933333333333333
3786,2010-05-14,11:31:00,194.573,194.572,-0.001,0.278,"[0.228, 0.051, -0.001]",0.09266666666666667
3787,2010-05-15,11:32:00,192.579,192.712,0.133,0.183,"[0.051, -0.001, 0.133]",0.061
3788,2010-05-16,11:33:00,192.811,192.949,0.138,0.27,"[-0.001, 0.133, 0.138]",0.09000000000000001
