date eq,A,date pa,B,c
2016-05-01 22:07:12,-0.0019021269237421423,2016-04-16 22:07:12,0.05925333712335301,-1.0
2016-05-06 22:07:12,0.0274943800795433,2016-04-21 22:07:12,0.5468745027928896,1.0
2016-05-11 22:07:12,0.02726381924030208,2016-04-26 22:07:12,0.6800926570141517,1.0
2016-05-16 22:07:12,-0.018271946509885284,2016-05-01 22:07:12,1.1258973156664447,-1.0
2016-05-21 22:07:12,-0.2444175456798664,2016-05-06 22:07:12,1.2780500351596125,-1.0
2016-06-10 22:07:12,0.014629085249870277,2016-05-26 22:07:12,1.9662977174752285,1.0
2016-06-15 22:07:12,0.07741080177531834,2016-05-31 22:07:12,0.916193131416724,1.0
2016-06-20 22:07:12,0.17793532768459275,2016-06-05 22:07:12,-0.9914203300926895,-1.0
2016-06-25 22:07:12,0.335523661306127,2016-06-10 22:07:12,1.1941053913865867,1.0
2016-06-30 22:07:12,0.02184563951812768,2016-06-15 22:07:12,1.4810143715526185,1.0
2016-07-05 22:07:12,-0.11914231367802186,2016-06-20 22:07:12,0.5606307434245064,-1.0
2016-07-10 22:07:12,0.005591100351605149,2016-06-25 22:07:12,-0.626595832104772,-1.0
2016-07-15 22:07:12,0.044463657847714444,2016-06-30 22:07:12,1.1015386697732423,1.0
2016-07-20 22:07:12,-0.07530117009625925,2016-07-05 22:07:12,-0.4328481584787003,1.0
2016-07-25 22:07:12,0.0495129402271024,2016-07-10 22:07:12,3.4853213713510307,1.0
2016-07-30 22:07:12,0.019897400426537537,2016-07-15 22:07:12,0.906369677750889,1.0
2016-08-04 22:07:12,-0.20560262839356735,2016-07-20 22:07:12,-0.9476958625590023,1.0
2016-08-09 22:07:12,0.23222087728399332,2016-07-25 22:07:12,0.5691676294429828,1.0
2016-08-14 22:07:12,0.6727188886967548,2016-07-30 22:07:12,0.3663631311927926,1.0
2016-08-19 22:07:12,0.3090091647933597,2016-08-04 22:07:12,1.4076843665757872,1.0
2016-08-24 22:07:12,0.0994178338809153,2016-08-09 22:07:12,-0.571366895650564,-1.0
2016-08-29 22:07:12,0.7757104155859125,2016-08-14 22:07:12,0.9349334825446705,1.0
2016-09-03 22:07:12,0.14672891809326183,2016-08-19 22:07:12,1.1186890143720913,1.0
2016-09-08 22:07:12,-0.00881895210098571,2016-08-24 22:07:12,0.9659861462587842,-1.0
