date,sum,count,median
2017-02-26 22:07:12,813.3,180,0
2017-03-03 22:07:12,735.34,162,0
2017-03-08 22:07:12,558.8,124,0
2017-03-13 22:07:12,797.8,174,0
2017-03-18 22:07:12,670.6899999999999,151,0
2017-03-23 22:07:12,759.1,170,0
2017-03-28 22:07:12,864.2,191,0
2017-04-02 22:07:12,803.1,178,0
2017-04-07 22:07:12,800.4,175,0
2017-04-12 22:07:12,786.7,175,0
2017-04-17 22:07:12,680.0,151,0
2017-04-22 22:07:12,905.7,201,0
2017-04-27 22:07:12,1067.8,235,0
2017-05-02 22:07:12,731.6,162,0
2017-05-07 22:07:12,968.4,210,0
2017-05-12 22:07:12,761.06,169,0
2017-05-17 22:07:12,679.7,152,0
2017-05-22 22:07:12,608.1,135,0
2017-05-27 22:07:12,812.8,180,0
2017-06-01 22:07:12,575.9,129,0
2017-06-06 22:07:12,693.38,153,0
2017-06-11 22:07:12,775.76,172,0
2017-06-16 22:07:12,791.31,177,0
2017-06-21 22:07:12,767.35,172,0
2017-06-26 22:07:12,661.9,149,0
2017-07-01 22:07:12,807.5,180,0
2017-07-06 22:07:12,838.8,189,0
2017-07-11 22:07:12,736.4,165,0
2017-07-16 22:07:12,1405.85,317,0
2017-07-21 22:07:12,832.0699999999999,188,0
2017-07-26 22:07:12,673.57,150,0
2017-07-31 22:07:12,612.7,136,0
2017-08-05 22:07:12,812.7,180,0
2017-08-10 22:07:12,789.61,173,0
2017-08-15 22:07:12,686.3,152,0
2017-08-20 22:07:12,642.12,145,0
2017-08-25 22:07:12,698.28,156,0
2017-08-30 22:07:12,780.92,173,0
2017-09-04 22:07:12,1352.9,301,0
2017-09-09 22:07:12,1100.82,249,0
2017-09-14 22:07:12,1005.5,223,0
2017-09-19 22:07:12,1004.7,223,0
2017-09-24 22:07:12,893.4,197,0
2017-09-29 22:07:12,716.8,162,0
2017-10-04 22:07:12,751.4,166,0
2017-10-09 22:07:12,781.39,175,0
2017-10-14 22:07:12,713.4,157,0
2017-10-19 22:07:12,686.4,151,0
2017-10-24 22:07:12,607.53,135,0
2017-10-29 22:07:12,1296.9,282,0
2017-11-03 22:07:12,942.7,207,0
2017-11-08 22:07:12,1067.38,235,0
2017-11-13 22:07:12,1073.8,232,0
2017-11-18 22:07:12,1285.6,281,0
2017-11-23 22:07:12,707.53,158,0
2017-11-28 22:07:12,786.4,174,0
2017-12-03 22:07:12,810.8,178,0
2017-12-08 22:07:12,691.0,153,0
2017-12-13 22:07:12,739.16,163,0
2017-12-18 22:07:12,701.0,153,0
2017-12-23 22:07:12,745.5,166,0
2017-12-28 22:07:12,690.9,154,0
2018-01-02 22:07:12,756.26,169,0
2018-01-07 22:07:12,861.0,189,0
2018-01-12 22:07:12,780.3,174,0
2018-01-17 22:07:12,718.42,161,0
2018-01-22 22:07:12,1336.8,298,0
2018-01-27 22:07:12,836.7,185,0
2018-02-01 22:07:12,823.63,181,0
2018-02-06 22:07:12,700.8,154,0
2018-02-11 22:07:12,769.7,172,0
2018-02-16 22:07:12,771.5,171,0
2018-02-21 22:07:12,1178.9,255,0
2018-02-26 22:07:12,1081.3,237,0
2018-03-03 22:07:12,1008.2,218,0
2018-03-08 22:07:12,684.8,153,0
2018-03-13 22:07:12,724.8,162,0
2018-03-18 22:07:12,736.48,163,0
2018-03-23 22:07:12,727.3,161,0
2018-03-28 22:07:12,904.91,201,0
2018-04-02 22:07:12,793.99,174,0
2018-04-07 22:07:12,821.34,184,0
2018-04-12 22:07:12,728.0,161,0
2018-04-17 22:07:12,679.2,151,0
2018-04-22 22:07:12,814.1,181,0
2018-04-27 22:07:12,707.22,157,0
2018-05-02 22:07:12,906.84,200,0
2018-05-07 22:07:12,703.38,155,0
2018-05-12 22:07:12,816.77,181,0
2018-05-17 22:07:12,822.6,180,0
2018-05-22 22:07:12,757.91,168,0
2018-05-27 22:07:12,722.92,160,0
2018-06-01 22:07:12,809.8,179,0
2018-06-06 22:07:12,789.22,176,0
2018-06-11 22:07:12,755.15,166,0
2018-06-16 22:07:12,764.67,168,0
2018-06-21 22:07:12,791.38,175,0
2018-06-26 22:07:12,849.42,189,0
2018-07-01 22:07:12,769.93,172,0
2018-07-06 22:07:12,1067.1,232,0
2018-07-11 22:07:12,680.0,150,0
2018-07-16 22:07:12,709.4,155,0
2018-07-21 22:07:12,770.62,171,0
2018-07-26 22:07:12,812.6,181,0
2018-07-31 22:07:12,786.6,175,0
2018-08-05 22:07:12,953.01,211,0
2018-08-10 22:07:12,851.71,188,0
2018-08-15 22:07:12,2081.6,457,0
2018-08-20 22:07:12,1107.8,245,0
2018-08-25 22:07:12,1163.48,256,0
2018-08-30 22:07:12,796.7,176,0
2018-09-04 22:07:12,1229.3,267,0
2018-09-09 22:07:12,1038.4,230,0
2018-09-14 22:07:12,1055.6,232,0
2018-09-19 22:07:12,870.4,193,0
2018-09-24 22:07:12,1293.61,284,0
2018-09-29 22:07:12,1083.71,238,0
2018-10-04 22:07:12,879.9,194,0
2018-10-09 22:07:12,847.1,182,0
2018-10-14 22:07:12,1182.2,256,0
2018-10-19 22:07:12,886.9,195,0
2018-10-24 22:07:12,1359.4,296,0
2018-10-29 22:07:12,984.01,216,0
2018-11-03 22:07:12,816.8,180,0
2018-11-08 22:07:12,881.1,194,0
2018-11-13 22:07:12,1064.0,233,0
2018-11-18 22:07:12,756.59,168,0
2018-11-23 22:07:12,834.8,182,0
2018-11-28 22:07:12,918.12,202,0
2018-12-03 22:07:12,1557.37,336,0
2018-12-08 22:07:12,881.9,194,0
2018-12-13 22:07:12,851.4,187,0
2018-12-18 22:07:12,1091.5,240,0
2018-12-23 22:07:12,1005.2,222,0
2018-12-28 22:07:12,907.6,201,0
2019-01-02 22:07:12,1055.8,232,0
2019-01-07 22:07:12,846.1,186,0
2019-01-12 22:07:12,0.0,0,0
